label,"GDP Per Capita"
2020,83812.8029661508
2019,80778.8296145658
2018,79297.729203754
2017,70413.1218331383
2016,62993.7450967453
2015,62000.1188069238
2014,55586.9625976761
2013,51577.279358775
2012,48914.6175297166
2011,51886.5084852792
2010,48698.1653176731
2009,52008.72824346
2008,61213.3065219911
2007,61337.1796201595
2006,54283.0647249869
2005,50891.3480877563
2004,47644.9320935599
2003,41100.6595446886
2002,32540.2632432601
2001,28239.5966133806
2000,26246.1688150129
1999,26294.6926826424
1998,24273.9338559694
1997,22541.4287341503
1996,20834.7192161582
1995,19161.4597639967
1994,15905.4225913301
1993,14659.3589464841
1992,15716.847793349
1991,14089.4160660049
1990,14033.5018664818
1989,11177.5683052183
1988,10717.5503067854
1987,9583.41509025343
1986,8113.44290045081
1985,6012.67783339252
1984,5692.91963024536
1983,5916.1690657572
1982,6161.60417410398
1981,5987.09241023281
1980,6373.43693651963
1979,5430.81338003019
1978,4400.67629471428
1977,3427.61045522251
1976,2920.04069062525
1975,2973.86603912373
1974,2517.32205774582
1973,2424.64917823815
1972,2080.79158589198
1971,1704.19927615899
1970,1486.74780173639
1969,1291.34992028637
1968,1124.51663608246
1967,1152.00495214994
1966,1074.50650554958
1965,1023.77372640936
1964,965.135422676745
1963,852.135301717888
1962,797.006288353959
1961,739.276406442666
1960,685.61471237976
