DATE,QIEN628BIS
1970-01-01,2.6593
1970-04-01,2.6593
1970-07-01,2.7991
1970-10-01,2.9598
1971-01-01,2.9179
1971-04-01,2.8969
1971-07-01,3.1974
1971-10-01,3.4421
1972-01-01,3.3232
1972-04-01,3.2603
1972-07-01,3.4421
1972-10-01,3.6238
1973-01-01,3.6203
1973-04-01,3.6972
1973-07-01,3.7216
1973-10-01,3.7845
1974-01-01,4.0466
1974-04-01,4.3087
1974-07-01,4.5778
1974-10-01,5.0111
1975-01-01,5.3256
1975-04-01,5.6191
1975-07-01,6.014
1975-10-01,6.297
1976-01-01,6.6046
1976-04-01,6.6779
1976-07-01,7.0449
1976-10-01,7.7647
1977-01-01,7.6844
1977-04-01,7.9534
1977-07-01,8.8061
1977-10-01,9.0821
1978-01-01,10.0326
1978-04-01,10.6232
1978-07-01,11.371
1978-10-01,11.3431
1979-01-01,12.1782
1979-04-01,13.272
1979-07-01,13.7018
1979-10-01,13.6319
1980-01-01,14.572
1980-04-01,14.9389
1980-07-01,16.2773
1980-10-01,17.06
1981-01-01,17.2837
1981-04-01,17.4165
1981-07-01,18.657
1981-10-01,19.1637
1982-01-01,19.3244
1982-04-01,19.3699
1982-07-01,19.9709
1982-10-01,20.2575
1983-01-01,19.9954
1983-04-01,19.4118
1983-07-01,20.4182
1983-10-01,19.8416
1984-01-01,20.1736
1984-04-01,19.9185
1984-07-01,20.7747
1984-10-01,20.5999
1985-01-01,20.4671
1985-04-01,20.3169
1985-07-01,21.1346
1985-10-01,21.6133
1986-01-01,21.1521
1986-04-01,21.18
1986-07-01,22.2179
1986-10-01,21.9139
1987-01-01,21.5085
1987-04-01,20.7886
1987-07-01,22.1794
1987-10-01,23.3466
1988-01-01,22.8643
1988-04-01,22.3402
1988-07-01,23.8638
1988-10-01,24.6675
1989-01-01,25.4747
1989-04-01,24.4963
1989-07-01,26.544
1989-10-01,28.3052
1990-01-01,29.2942
1990-04-01,28.3262
1990-07-01,30.2587
1990-10-01,29.6541
1991-01-01,30.028
1991-04-01,28.445
1991-07-01,30.2237
1991-10-01,31.3035
1992-01-01,31.2301
1992-04-01,30.1049
1992-07-01,31.3909
1992-10-01,31.4398
1993-01-01,30.4648
1993-04-01,30.6291
1993-07-01,32.1527
1993-10-01,31.6145
1994-01-01,32.7223
1994-04-01,31.5586
1994-07-01,32.1422
1994-10-01,33.9908
1995-01-01,34.8364
1995-04-01,33.5609
1995-07-01,34.9867
1995-10-01,36.395
1996-01-01,36.5557
1996-04-01,37.0834
1996-07-01,41.1929
1996-10-01,41.6751
1997-01-01,41.8359
1997-04-01,44.0444
1997-07-01,47.1929
1997-10-01,50.7538
1998-01-01,52.8015
1998-04-01,53.9722
1998-07-01,56.4463
1998-10-01,61.5622
1999-01-01,63.7846
1999-04-01,62.5371
1999-07-01,68.649
1999-10-01,71.6752
2000-01-01,72.0106
2000-04-01,73.2791
2000-07-01,76.7876
2000-10-01,81.589
2001-01-01,82.0083
2001-04-01,82.2145
2001-07-01,81.0578
2001-10-01,82.1132
2002-01-01,85.1184
2002-04-01,86.2087
2002-07-01,90.2763
2002-10-01,93.7672
2003-01-01,95.8604
2003-04-01,97.4295
2003-07-01,102.119
2003-10-01,106.8226
2004-01-01,106.6968
2004-04-01,107.8325
2004-07-01,112.9903
2004-10-01,118.875
2005-01-01,118.731
2005-04-01,121.2455
2005-07-01,125.9601
2005-10-01,131.4999
2006-01-01,133.8965
2006-04-01,139.2005
2006-07-01,147.569
2006-10-01,150.7907
2007-01-01,153.423
2007-04-01,153.9731
2007-07-01,153.7766
2007-10-01,152.9123
2008-01-01,149.6906
2008-04-01,145.6046
2008-07-01,141.715
2008-10-01,134.4465
2009-01-01,125.0172
2009-04-01,116.4129
2009-07-01,111.5804
2009-10-01,108.9873
2010-01-01,105.2549
2010-04-01,101.6796
2010-07-01,98.6936
2010-10-01,94.3719
2011-01-01,90.0501
2011-04-01,85.414
2011-07-01,80.3065
2011-10-01,75.8275
2012-01-01,72.4487
2012-04-01,70.7593
2012-07-01,71.5843
2012-10-01,72.1737
2013-01-01,70.0913
2013-04-01,70.1306
2013-07-01,74.0988
2013-10-01,76.2204
2014-01-01,77.4384
2014-04-01,81.7601
2014-07-01,88.3607
2014-10-01,91.1109
2015-01-01,90.993
2015-04-01,93.036
2015-07-01,96.022
2015-10-01,97.4364
2016-01-01,97.79
2016-04-01,98.8901
2016-07-01,103.1726
2016-10-01,105.7656
2017-01-01,106.9836
2017-04-01,109.3409
2017-07-01,115.3128
2017-10-01,118.1023
2018-01-01,120.1454
2018-04-01,123.0527
2018-07-01,125.803
2018-10-01,126.6673
2019-01-01,125.4887
2019-04-01,126.1566
2019-07-01,127.9639
2019-10-01,127.7281
2020-01-01,126.7459
2020-04-01,126.5887
2020-07-01,126.9423
2020-10-01,128.6318
2021-01-01,130.5569
2021-04-01,133.7
2021-07-01,140.4577
2021-10-01,146.3903
2022-01-01,150.0835
