Year,Highest Mortgage Interest Rate
1975,12.50%
1976,13.95%
1977,13.96%
1978,14.15%
1979,14.15%
1980,14.15%
1981,16.25%
1982,16.25%
1983,13%
1984,11.75%
1985,13%
1986,12.50%
1987,12.50%
1988,9.25%
1989,11.40%
1990,12.37%
1991,11.95%
1992,13.99%
1993,13.99%
1994,7.49%
1995,7.00%
1996,6.75%
1997,6.90%
1998,5.85%
1999,5.60%
2000,6.09%
2001,6.90%
2002,4.70%
2003,4.20%
2004,3.49%
2005,3.65%
2006,4.86%
2007,5.46%
2008,5.86%
2009,4.16%
2010,4.02%
2011,4.42%
2012,4.33%
2013,4.38%
2014,4.20%
2015,4.05%
2016,3.61%
2017,3.44%
2018,3.21%
2019,3.02%
2020,2.92%
2021,2.80%
